iter	Passed	Remaining
214	15820	46358
215	15862	46191
216	15947	46153
217	16007	46039
218	16090	45994
219	16229	46107
220	16270	45939
221	16307	45765
222	16345	45592
223	16447	45597
224	16531	45552
225	16599	45465
226	16680	45411
227	16795	45451
228	16851	45329
229	16997	45450
230	17045	45305
231	17084	45142
232	17203	45185
233	17257	45061
234	17340	45010
235	17396	44891
236	17454	44778
237	17533	44718
238	17734	44966
239	17777	44813
240	17905	44874
241	17943	44711
242	17984	44554
243	18022	44392
244	18061	44232
245	18101	44076
246	18141	43920
247	18178	43761
248	18219	43608
249	18256	43450
250	18293	43292
251	18330	43133
252	18369	42982
253	18406	42827
254	18440	42665
255	18477	42512
256	18517	42365
257	18554	42213
258	18590	42061
259	18627	41910
260	18763	41983
261	18807	41850
262	18846	41704
263	18884	41559
264	18921	41413
265	18953	41256
266	19066	41275
267	19167	41267
268	19294	41314
269	19338	41182
270	19378	41045
271	19418	40907
272	19455	40763
273	19492	40620
274	19646	40721
275	19693	40600
276	19822	40647
277	19875	40537
278	19921	40413
279	19961	40279
280	19997	40136
281	20133	40194
282	20215	40146
283	20274	40049
284	20342	39971
285	20430	39931
286	20516	39889
287	20670	39977
288	20763	39946
289	20809	39824
290	20893	39775
291	20959	39694
292	21017	39595
293	21100	39545
294	21247	39614
295	21289	39485
296	21323	39343
297	21446	39366
298	21595	39435
299	21681	39388
300	21759	39326
301	21885	39350
302	21919	39208
303	22015	39178
304	22091	39113
305	22132	38985
306	22214	38929
307	22290	38863
308	22331	38736
309	22365	38597
310	22399	38461
311	22530	38489
312	22592	38400
313	22636	38280
314	22755	38286
315	22800	38169
316	22840	38043
317	23017	38145
318	23061	38026
319	23215	38088
320	23274	37992
321	23388	37988
322	23527	38022
323	23687	38090
324	23743	37989
325	23788	37872
326	23823	37738
327	23988	37810
328	24026	37682
329	24060	37549
330	24090	37410
331	24127	37281
332	24167	37157
333	24206	37033
334	24413	37166
335	24476	37078
336	24614	37104
337	24658	36987
338	24688	36850
339	24822	36868
340	24887	36783
341	24999	36768
342	25062	36680
343	25189	36685
344	25244	36585
345	25285	36466
346	25324	36345
347	25363	36222
348	25401	36100
349	25567	36159
350	25721	36201
351	25788	36118
352	25831	36003
353	25974	36026
354	26114	36044
355	26158	35930
356	26330	35992
357	26376	35880
358	26412	35755
359	26558	35780
360	26614	35681
361	26715	35644
362	26799	35585
363	26960	35625
364	27104	35644
365	27156	35540
366	27277	35527
367	27337	35434
368	27374	35311
369	27404	35181
370	27446	35065
371	27546	35025
372	27590	34913
373	27629	34795
374	27747	34776
375	27781	34653
376	27904	34640
377	27940	34518
378	27973	34395
379	28075	34355
380	28120	34246
381	28216	34199
382	28357	34206
383	28399	34094
384	28437	33976
385	28475	33860
386	28507	33737
387	28542	33618
388	28576	33498
389	28617	33386
390	28656	33273
391	28698	33164
392	28736	33050
393	28774	32937
394	28815	32827
395	28853	32715
396	28891	32602
397	28927	32489
398	28962	32373
399	29001	32263
400	29069	32186
401	29172	32148
402	29243	32073
403	29335	32021
404	29373	31911
405	29448	31842
406	29603	31858
407	29651	31759
408	29694	31654
409	29736	31550
410	29819	31488
411	29864	31387
412	29911	31287
413	29952	31182
414	29992	31076
415	30031	30970
416	30072	30865
417	30110	30759
418	30154	30658
419	30194	30553
420	30235	30450
421	30276	30348
422	30313	30242
423	30346	30131
424	30486	30127
425	30530	30028
426	30568	29924
427	30608	29821
428	30644	29715
429	30678	29608
430	30831	29615
431	30961	29599
432	31115	29606
433	31288	29630
434	31382	29578
435	31429	29483
436	31471	29382
437	31572	29337
438	31650	29271
439	31775	29247
440	31813	29144
441	31850	29040
442	31889	28938
443	31926	28834
444	31960	28728
445	31997	28625
446	32033	28521
447	32070	28419
448	32107	28317
449	32145	28216
450	32181	28114
451	32218	28013
452	32259	27915
453	32294	27813
454	32336	27716
455	32375	27618
456	32415	27521
457	32452	27421
458	32487	27320
459	32529	27225
460	32569	27129
461	32610	27034
462	32646	26935
463	32681	26835
464	32719	26738
465	32761	26645
466	32799	26548
467	32840	26454
468	32878	26359
469	32918	26265
470	32954	26167
471	32995	26074
472	33058	25999
473	33176	25966
474	33302	25941
475	33380	25876
476	33436	25795
477	33553	25761
478	33722	25766
479	33771	25680
480	33809	25585
481	33853	25495
482	33927	25428
483	33976	25341
484	34095	25307
485	34138	25217
486	34275	25196
487	34310	25100
488	34353	25009
489	34400	24922
490	34500	24873
491	34616	24836
492	34665	24751
493	34755	24694
494	34820	24620
495	34906	24561
496	35050	24542
497	35212	24535
498	35250	24442
499	35291	24351
500	35328	24257
501	35369	24166
502	35407	24074
503	35448	23983
504	35487	23892
505	35522	23798
506	35645	23763
507	35689	23676
508	35837	23657
509	35879	23568
510	35918	23476
511	35957	23386
512	35997	23296
513	36033	23204
514	36069	23112
515	36209	23087
516	36251	22999
517	36393	22974
518	36434	22885
519	36577	22860
520	36613	22769
521	36759	22746
522	36932	22738
523	36968	22646
524	37004	22555
525	37079	22487
526	37130	22405
527	37252	22365
528	37320	22293
529	37397	22227
530	37439	22139
531	37476	22049
532	37516	21960
533	37554	21871
534	37591	21782
535	37632	21694
536	37679	21611
537	37800	21569
538	37901	21517
539	38050	21491
540	38101	21410
541	38144	21324
542	38233	21264
543	38334	21210
544	38390	21132
545	38467	21065
546	38509	20979
547	38546	20891
548	38599	20811
549	38677	20745
550	38817	20712
551	38938	20668
552	39038	20613
553	39130	20554
554	39237	20502
555	39355	20456
556	39471	20409
557	39596	20366
558	39774	20349
559	39841	20276
560	39924	20211
561	39992	20138
562	40083	20077
563	40205	20031
564	40306	19974
565	40535	19981
566	40611	19911
567	40761	19878
568	40821	19800
569	40941	19752
570	41091	19718
571	41175	19652
572	41363	19635
573	41417	19554
574	41456	19466
575	41489	19376
576	41582	19313
577	41633	19231
578	41748	19179
579	41853	19122
580	41907	19042
581	41942	18953
582	42072	18907
583	42182	18852
584	42234	18770
585	42266	18680
586	42361	18618
587	42409	18536
588	42498	18471
589	42591	18408
590	42698	18351
591	42746	18268
592	42783	18181
593	42823	18095
594	42860	18008
595	42996	17963
596	43045	17881
597	43128	17813
598	43243	17759
599	43306	17683
600	43468	17647
601	43508	17562
602	43623	17507
603	43662	17421
604	43701	17336
605	43739	17250
606	43774	17163
607	43812	17078
608	43848	16992
609	43887	16907
610	43927	16823
611	43966	16738
612	44003	16653
613	44037	16567
614	44070	16481
615	44108	16397
616	44267	16358
617	44309	16275
618	44345	16190
619	44377	16104
620	44410	16019
621	44443	15934
622	44604	15894
623	44655	15815
624	44733	15746
625	44791	15669
626	44829	15586
627	44911	15518
628	45003	15454
629	45043	15372
630	45139	15308
631	45216	15239
632	45408	15207
633	45457	15128
634	45538	15059
635	45634	14996
636	45774	14946
637	45924	14900
638	46049	14845
639	46162	14786
640	46249	14719
641	46362	14659
642	46448	14592
643	46516	14518
644	46658	14467
645	46713	14390
646	46775	14314
647	46872	14249
648	46985	14189
649	47032	14109
650	47108	14038
651	47179	13965
652	47326	13915
653	47474	13864
654	47514	13782
655	47553	13700
656	47594	13618
657	47636	13537
658	47677	13456
659	47828	13406
660	47894	13332
661	47996	13268
662	48062	13193
663	48213	13142
664	48376	13094
665	48429	13016
666	48590	12967
667	48637	12887
668	48760	12827
669	48810	12748
670	48944	12692
671	48980	12609
672	49099	12548
673	49147	12469
674	49261	12406
675	49332	12333
676	49430	12266
677	49583	12213
678	49627	12132
679	49670	12052
680	49741	11978
681	49891	11924
682	49942	11845
683	49983	11765
684	50097	11701
685	50143	11622
686	50181	11541
687	50219	11460
688	50259	11379
689	50296	11298
690	50335	11217
691	50373	11137
692	50410	11056
693	50450	10977
694	50490	10897
695	50525	10816
696	50564	10736
697	50607	10658
698	50645	10578
699	50803	10523
700	50853	10446
701	50969	10382
702	51019	10305
703	51196	10253
704	51259	10179
705	51305	10101
706	51427	10038
707	51572	9979
708	51622	9902
709	51667	9824
710	51707	9745
711	51747	9666
712	51785	9587
713	51822	9507
714	51945	9444
715	52088	9384
716	52154	9310
717	52248	9241
718	52309	9166
719	52410	9099
720	52531	9034
721	52575	8956
722	52710	8894
723	52831	8829
724	52882	8752
725	52921	8674
726	52954	8595
727	52995	8517
728	53037	8439
729	53179	8377
730	53302	8312
731	53414	8245
732	53549	8182
733	53702	8121
734	53758	8045
735	53865	7977
736	53994	7912
737	54058	7837
738	54113	7761
739	54210	7692
740	54297	7620
741	54362	7546
742	54448	7474
743	54536	7403
744	54649	7335
745	54720	7261
746	54814	7191
747	54942	7124
748	55056	7056
749	55108	6980
750	55222	6912
751	55321	6841
752	55378	6766
753	55468	6694
754	55589	6626
755	55673	6554
756	55715	6476
757	55757	6399
758	55814	6324
759	55910	6253
760	56037	6185
761	56077	6108
762	56113	6030
763	56162	5954
764	56244	5881
765	56344	5810
766	56389	5734
767	56424	5657
768	56537	5587
769	56581	5511
770	56699	5441
771	56750	5366
772	56932	5302
773	57027	5231
774	57206	5167
775	57351	5099
776	57412	5024
777	57538	4955
778	57576	4878
779	57680	4806
780	57720	4729
781	57881	4663
782	58027	4594
783	58076	4518
784	58198	4448
785	58252	4372
786	58380	4302
787	58421	4225
788	58520	4153
789	58564	4077
790	58619	4001
791	58779	3933
792	58873	3860
793	58912	3784
794	58947	3707
795	59115	3639
796	59213	3566
797	59271	3490
798	59306	3414
799	59341	3337
800	59479	3267
801	59520	3191
802	59558	3115
803	59599	3039
804	59655	2964
805	59783	2892
806	60015	2826
807	60061	2750
808	60168	2677
809	60285	2604
810	60357	2530
811	60433	2456
812	60558	2383
813	60680	2310
814	60795	2237
815	60840	2162
816	60872	2086
817	61005	2013
818	61161	1941
819	61199	1865
820	61238	1790
821	61364	1717
822	61438	1642
823	61535	1568
824	61667	1494
825	61750	1420
826	61894	1347
827	61986	1272
828	62049	1197
829	62096	1122
830	62167	1047
831	62260	972
832	62369	898
833	62497	824
834	62620	749
835	62673	674
836	62717	599
837	62829	524
838	62875	449
839	62964	374
840	63039	299
841	63184	225
842	63226	150
843	63338	75
844	63421	0
