iter	MultiClass
293	0.0737911024
294	0.07319241651
295	0.0730042197
296	0.07243825382
297	0.07220355915
298	0.07192581147
299	0.07141848536
300	0.07113023225
301	0.07071095241
302	0.07042392213
303	0.07012928067
304	0.06969303909
305	0.06933685469
306	0.06907025237
307	0.0687168974
308	0.06847522433
309	0.06815189579
310	0.06784382241
311	0.06741621157
312	0.06701565213
313	0.0668052789
314	0.06646970807
315	0.06596895821
316	0.06558512446
317	0.06533384075
318	0.06493641736
319	0.06459197037
320	0.0642923532
321	0.06389317302
322	0.0636201792
323	0.0634101272
324	0.06301208814
325	0.06266889488
326	0.0623733763
327	0.06202440271
328	0.06163313106
329	0.06141612877
330	0.06099752475
331	0.06065050124
332	0.06015649628
333	0.05985286409
334	0.05946577371
335	0.05917068938
336	0.05867549625
337	0.05844819298
338	0.05809560452
339	0.05782113278
340	0.05753681392
341	0.05732069341
342	0.0569175772
343	0.05664244553
344	0.05625778
345	0.05600388035
346	0.05551369261
347	0.05504263059
348	0.05460519868
349	0.05437884135
350	0.05419083932
351	0.05376363336
352	0.05346219535
353	0.05318704372
354	0.05298504415
355	0.05274126445
356	0.05236167042
357	0.05220396465
358	0.05201478209
359	0.05173736803
360	0.05148408084
361	0.0512612588
362	0.0510598791
363	0.05074357234
364	0.05054770316
365	0.05028669178
366	0.049866792
367	0.04969777837
368	0.04953954427
369	0.04934012717
370	0.04902468164
371	0.048795667
372	0.04859817357
373	0.04834592546
374	0.04802984142
375	0.0478089249
376	0.0474023541
377	0.04718924468
378	0.04702971115
379	0.04682658731
380	0.04659529871
381	0.04635968747
382	0.04614216178
383	0.04597434026
384	0.04577949747
385	0.04556241076
386	0.04531894413
387	0.04504297935
388	0.04483767519
389	0.04458069484
390	0.04422757129
391	0.0440828695
392	0.04378267592
393	0.04350662425
394	0.04339769781
395	0.04317080304
396	0.04290414621
397	0.04277215445
398	0.04254506678
399	0.04236624867
400	0.04220185531
401	0.0420785582
402	0.04196113213
403	0.04169391175
404	0.04144662464
405	0.04120788335
406	0.04105486254
407	0.04086460674
408	0.04075267156
409	0.04056641395
410	0.04039899744
411	0.04023959119
412	0.03994019176
413	0.03974423309
414	0.03961156765
415	0.03938348961
416	0.03919290649
417	0.03900586738
418	0.038723617
419	0.03846988991
420	0.03826582299
421	0.03816616256
422	0.03805384187
423	0.03794694626
424	0.03780778938
425	0.03757898846
426	0.03734194108
427	0.037153525
428	0.03687348722
429	0.03674031631
430	0.03657967401
431	0.03640371715
432	0.03629957344
433	0.03611841163
434	0.0360042375
435	0.03588448831
436	0.0357026124
437	0.03553729343
438	0.03536026848
439	0.03510013334
440	0.0349388198
441	0.03471664099
442	0.03454602123
443	0.03434629793
444	0.03415178422
445	0.0340576529
446	0.03392178271
447	0.03381508664
448	0.03368661188
449	0.03350140221
450	0.03337392738
451	0.03324256501
452	0.03313101421
453	0.03286252281
454	0.03274390655
455	0.03258072629
456	0.03248185756
457	0.03234093753
458	0.03224820652
459	0.03208078679
460	0.03193230817
461	0.03176560284
462	0.03148274732
463	0.03133897668
464	0.03119765352
465	0.03110850426
466	0.03088770719
467	0.03080568668
468	0.03065092034
469	0.0304977491
470	0.03043358879
471	0.03032933424
472	0.0301867956
473	0.03002753511
474	0.02991259226
475	0.02971070187
476	0.02954890487
477	0.0294181003
478	0.02925666325
479	0.02909993778
480	0.02899165858
481	0.028888852
482	0.02872400261
483	0.02856062883
484	0.02843841774
485	0.02831475049
486	0.02821218152
487	0.02809624818
488	0.02800789451
489	0.02789462473
490	0.02776355758
491	0.02765441674
492	0.02749018089
493	0.02740335222
494	0.02727309275
495	0.02715618019
496	0.02696193437
497	0.02687281811
498	0.02675578092
499	0.02667224962
500	0.02654747763
501	0.02636471177
502	0.02618128168
503	0.02609865039
504	0.02599295559
505	0.02592649677
506	0.02582830039
507	0.02572322839
508	0.02561735722
509	0.02546521965
510	0.02536392865
511	0.02523755498
512	0.02516200465
513	0.02510348027
514	0.02502278813
515	0.02493332823
516	0.02484900553
517	0.02475131195
518	0.02459922017
519	0.0244405388
520	0.02429515409
521	0.02418013736
522	0.02403995426
523	0.02387535335
524	0.02375657528
525	0.02366107818
526	0.02357902639
527	0.02344203518
528	0.0233065194
529	0.0232525981
530	0.02313902214
531	0.02301623831
532	0.0228690878
533	0.02275312185
534	0.02264704234
535	0.02258302957
536	0.02245725063
537	0.02230727031
538	0.02219624212
539	0.02208116029
540	0.02199927746
541	0.02193938679
542	0.02182802053
543	0.02171057614
544	0.02159871124
545	0.02148626546
546	0.02135270012
547	0.02118524259
548	0.02106215467
549	0.02093602204
550	0.02082316602
551	0.02072380279
552	0.02064462754
553	0.02056491313
554	0.02048465193
555	0.02033898435
556	0.02018531522
557	0.02008165459
558	0.01999796108
559	0.01994095224
560	0.0198272635
561	0.01969955006
562	0.01962928835
563	0.01955909257
564	0.01949052411
565	0.0194245846
566	0.01932570281
567	0.01922151399
568	0.01912177845
569	0.01900126882
570	0.01892934774
571	0.01879941963
572	0.01870978143
573	0.01864961562
574	0.01859753528
575	0.01850519022
576	0.01836485917
577	0.0182953503
578	0.0182627549
579	0.01817836239
580	0.01812659257
581	0.01804776609
582	0.01795018709
583	0.01787475437
584	0.01780188523
585	0.01769604866
586	0.01762392079
587	0.01752942594
588	0.01746054134
589	0.01734373278
590	0.01719444882
591	0.01713746077
592	0.0170883811
593	0.0169873541
594	0.01691724842
595	0.01687693475
596	0.01679787168
597	0.01673065154
598	0.01669557104
599	0.01664147041
600	0.01656944164
601	0.01654185773
602	0.01646155926
603	0.01640915148
604	0.01630659391
605	0.01622679927
606	0.01613845492
607	0.01608543107
608	0.01601674079
609	0.01591973388
610	0.01584499268
611	0.01575948076
612	0.01572889507
613	0.01567322041
614	0.01560856254
615	0.0155378573
616	0.01549479059
617	0.01545297171
618	0.01539550245
619	0.01533754586
620	0.01526253547
621	0.01521543318
622	0.01513719075
623	0.01509102664
624	0.01502558105
625	0.014932199
626	0.01483465679
627	0.0147708132
628	0.01467404969
629	0.01463549242
630	0.01457380341
631	0.01448433847
632	0.01443435325
633	0.01434435045
634	0.01424119801
635	0.01419809454
636	0.01413575671
637	0.01405376528
638	0.01401873033
639	0.01392921004
640	0.01380965271
641	0.01372032564
642	0.01365232901
643	0.01362162217
644	0.0135636462
645	0.0134898052
646	0.01339207918
647	0.01335137454
648	0.01326706244
649	0.01322121065
650	0.01313793106
651	0.01309492323
652	0.01304632813
653	0.01296363656
654	0.0129006775
655	0.01283399428
656	0.01278449483
657	0.01272873027
658	0.01270184052
659	0.01265501327
660	0.01256323698
661	0.01249428542
662	0.01243486669
663	0.01237698678
664	0.01231237236
665	0.01226565205
666	0.01216639959
667	0.01208426965
668	0.01204589072
669	0.01198732088
670	0.01195610596
671	0.01190959781
672	0.0118346112
673	0.01176267438
674	0.01172266634
675	0.0116658027
676	0.01162501387
677	0.01154297425
678	0.01145771282
679	0.01143284219
680	0.01141335754
681	0.01136904551
682	0.01131458734
683	0.01125971011
684	0.01116906746
685	0.01111172937
686	0.01102618411
687	0.01096566699
688	0.01092241331
689	0.010853009
690	0.01080481698
691	0.01076736403
692	0.01072704106
693	0.01067572397
694	0.0106152459
695	0.01053223787
696	0.01047097003
697	0.01043585812
698	0.01039485431
699	0.01033342078
700	0.01030948548
701	0.0102753365
702	0.01020521071
703	0.01017573953
704	0.01012478556
705	0.0100763119
706	0.01004321886
707	0.01001611051
708	0.009962577418
709	0.009893705385
710	0.009867517261
711	0.009848008112
712	0.009809370959
713	0.009771418078
714	0.009741566713
715	0.009669178877
716	0.009630531829
717	0.009584895168
718	0.009514644887
719	0.009451536093
720	0.009402831525
721	0.009354108442
