iter	MultiClass
0	1.055643746
1	1.01855812
2	0.9826669371
3	0.9477633549
4	0.9175835427
5	0.8881100986
6	0.8605285173
7	0.8342914172
8	0.8107661933
9	0.7910205636
10	0.7708150266
11	0.7505541901
12	0.731114255
13	0.7142682112
14	0.6990853402
15	0.6824129571
16	0.667036016
17	0.6517318211
18	0.6392350464
19	0.6245268618
20	0.6104050958
21	0.5965641839
22	0.5858433217
23	0.5741408
24	0.5642551051
25	0.5528890045
26	0.5428127074
27	0.5310386171
28	0.5216349672
29	0.5112880676
30	0.5049680075
31	0.4965320686
32	0.4882852217
33	0.4819447352
34	0.4752463771
35	0.4695268945
36	0.4629424987
37	0.456634341
38	0.4483021725
39	0.4419173317
40	0.4355737665
41	0.4289257369
42	0.422722191
43	0.4174935065
44	0.4110418952
45	0.407835455
46	0.402710981
47	0.3983713942
48	0.3933673168
49	0.3882759836
50	0.3832730545
51	0.3792198212
52	0.3737210204
53	0.3696280951
54	0.3646525
55	0.3598163769
56	0.3565629848
57	0.3524567369
58	0.3474800724
59	0.3445689205
60	0.3410092111
61	0.3380478846
62	0.3336880946
63	0.3286671006
64	0.325816777
65	0.3226219232
66	0.3192985174
67	0.3162925731
68	0.3122370877
69	0.3102945395
70	0.3064581669
71	0.3041410521
72	0.3024690299
73	0.3005734409
74	0.2979395147
75	0.2960406299
76	0.292887587
77	0.2902260653
78	0.2877194799
79	0.2855020683
80	0.2823427577
81	0.2796435256
82	0.2775586707
83	0.275428188
84	0.2733762718
85	0.2707672619
86	0.2674855315
87	0.2652904599
88	0.2630215541
89	0.261081419
90	0.2591228844
91	0.2564659867
92	0.2550782519
93	0.2527890308
94	0.250834004
95	0.2483393489
96	0.2464567338
97	0.2437894296
98	0.2415946648
99	0.238937197
100	0.2372162721
101	0.2352663854
102	0.2332177766
103	0.2313094029
104	0.2285196738
105	0.2265576222
106	0.2251899885
107	0.2241368792
108	0.2222623399
109	0.2206538665
110	0.2198212837
111	0.2187505285
112	0.2167802697
113	0.2151538011
114	0.2134951635
115	0.2120872026
116	0.2108703415
117	0.2093747182
118	0.2073466321
119	0.2054994025
120	0.2037999607
121	0.2027292994
122	0.2016361099
123	0.1999002063
124	0.198724342
125	0.1969995603
126	0.1959497914
127	0.1943097953
128	0.1926861839
129	0.1912542889
130	0.1896116586
131	0.1889145017
132	0.1876068342
133	0.1870423353
134	0.1860497953
135	0.1850725614
136	0.183427078
137	0.1822200584
138	0.1809305547
139	0.1798439593
140	0.1780378978
141	0.1768536661
142	0.1757248372
143	0.1744329764
144	0.1733073332
145	0.1714508116
146	0.1700446965
147	0.1693408046
148	0.168329163
149	0.1673312065
150	0.1656897441
151	0.1645176127
152	0.1637361116
153	0.1629286528
154	0.1618870196
155	0.1605372587
156	0.1594852468
157	0.1583858419
158	0.1573835261
159	0.1561250181
160	0.1551471363
161	0.1543774943
162	0.1533481634
163	0.1524583002
164	0.151246
165	0.1503939749
166	0.1492665411
167	0.1482720277
168	0.147531495
169	0.1462901107
170	0.1449229021
171	0.1435082737
172	0.1429194836
173	0.141862171
174	0.1409422024
175	0.1397049116
176	0.1389159719
177	0.1381995408
178	0.137460247
179	0.1363569397
180	0.1358643442
181	0.1354408128
182	0.1351087256
183	0.1339119981
184	0.1331328115
185	0.1322528142
186	0.1314458314
187	0.1307804117
188	0.1300500113
189	0.1289652527
190	0.1285330317
191	0.1278359618
192	0.1275040831
193	0.1268818295
194	0.1259255844
195	0.1254261842
196	0.1246879991
197	0.1239937597
198	0.1234354407
199	0.1230079852
200	0.1223774215
201	0.1216659816
202	0.1213320312
203	0.1203604534
204	0.1192835647
205	0.118736972
206	0.1179659403
207	0.1176699896
208	0.1171177604
209	0.1166839441
210	0.1158480287
211	0.1150051299
212	0.1144155179
213	0.1137753022
214	0.1129417947
215	0.1124044668
216	0.1117392818
217	0.1109415346
218	0.1103746034
219	0.1093706465
220	0.1088954342
221	0.1084022661
222	0.1078690255
223	0.1074161968
224	0.1071073821
225	0.1064702585
226	0.1057424558
227	0.105490336
228	0.1048037105
229	0.1043042441
230	0.1037719939
231	0.1032389727
232	0.1026803581
233	0.1021662235
234	0.1015433822
235	0.1010947478
236	0.1002308598
237	0.09967063118
238	0.09927223867
239	0.09846277711
240	0.09783072035
241	0.09729979232
242	0.09680915205
243	0.09637273794
244	0.09567722898
245	0.09493811252
246	0.09429650569
247	0.09391786832
248	0.09334753091
249	0.09292115611
250	0.09246342666
251	0.09205394946
252	0.0915896364
253	0.09099313713
254	0.09061096973
255	0.09022943597
256	0.08969593023
257	0.08914982012
258	0.08865506987
259	0.08845060955
260	0.08806915412
261	0.08738498007
262	0.08687962997
263	0.08625098718
264	0.0857046675
265	0.08529706924
266	0.08504725817
267	0.08462563053
268	0.08406998474
269	0.08376659674
270	0.08333277588
271	0.08283826355
272	0.08224335749
273	0.0817227413
274	0.08126467155
275	0.08081951231
276	0.08046505593
277	0.08013935252
278	0.07955710074
279	0.0791219425
280	0.07888959659
281	0.07863811581
282	0.07822155255
283	0.0778863899
284	0.0776369803
285	0.07687581802
286	0.07653047943
287	0.07623310496
288	0.07583905272
289	0.07538889397
290	0.07503981939
291	0.07453923588
292	0.07412516989
